number,name_horse,horse_age,weight,race_place,distance,prize,win_odd,draw,entraineur,proprietaire,sex
1,ETREM BRODDE,5,0 ,0,2140,6100,2.8,1,P Huusari,Still Alive Media Oy,HONGRE
2,BUNCH OF BUDGIES,4,0 ,0,2140,6990,8.2,2,P Aikio,Lerstenen Frvaltning Ab,HONGRE
4,CHEVY TO THE LEVY,4,0 ,0,2140,7754,12,4,K Haugstad,Srf Stable,HONGRE
5,LISTAS TERMINATOR,4,0 ,0,2140,8805,5.5,5,M Lindgren,Global Glide Ab,FEMELLE
6,RAW DATA,4,0 ,0,2140,8910,12,6,S Melander,Stall TZ,FEMELLE
7,GLOBAL AGENCY,4,0 ,0,2140,11211,8.5,7,M Djuse,Easy Kb,HONGRE
8,LLAMA TOOMA,5,0 ,0,2140,12394,16,8,J Ivanov,Stall Oalis,HONGRE
9,ATHLETIC LANE,4,0 ,0,2140,9540,25,9,T Franck,Thomas Franck Ab,HONGRE
11,MOONLIGHT BLACK,7,0 ,0,2140,11884,13,11,HB Korpi,Heinonen Jorma,MALE
12,TIMETOPAYTHEPIPE,6,0 ,0,2140,12558,22,12,LA Sderholm,Easy Kb,HONGRE
