number,name_horse,horse_age,weight,race_place,distance,prize,win_odd,draw,entraineur,proprietaire,sex
1,DYNAMIC VERSE,4,615 ,2,1000,30668,2.4,10,Natalie Mccall,M C Johnston Platinum Bloodstoc,HONGRE
2,NO BETTER MOMENT,4,605 ,0,1000,16797,9.1,9,Kristy Best,Mrs K J Best Miss S Brown Ms K,HONGRE
3,THE CARPENTER,4,605 ,2,1000,35198,9.7,14,Chris Munce,Mrs J L Mcintyre A J W Mcintyre,HONGRE
5,COURSESHEWILL,4,600 ,2,1000,95807,11,11,A J T Edmonds,M A Mclean A Stephenson C J We,FEMELLE
6,BETTER THAN MAGIC,4,590 ,2,1000,14052,17,5,Tom Bourke,Kc Mills A V Dreger T Bourke,HONGRE
7,CLEVER MISS,4,590 ,3,1000,48126,10,16,S W Kendrick,Kendrick Racing Ms T Burnet D,FEMELLE
10,DWARF,4,575 ,2,1000,12564,7.1,2,K M Schweida,R P Townsend Mrs P J Townsend,FEMELLE
14,TWERK,4,560 ,2,1000,18053,17,3,Chris Munce,Mrs K Rickards M S Rose J C Tu,FEMELLE
15,BOLD THALIA,4,550 ,2,1000,9985,8.5,6,G K Taylor,G W Cleary Mrs R G Cleary,FEMELLE
