number,name_horse,horse_age,weight,race_place,distance,prize,win_odd,draw,entraineur,proprietaire,sex
2,FINAL STRYKE,4,580 ,0,1600,462,25,8,Ms C Martindale,M B Hutchinson R J Mayo B G St,HONGRE
3,KWAHADI,4,580 ,2,1600,6524,7.4,1,R F Donat,R F Donat Mrs B J Donat,HONGRE
4,SOCKAHOLIC,4,580 ,0,1600,380,21,10,R Cluning,R Cluning Mrs E Cluning Mr W M,HONGRE
5,STARCRIPPA,4,580 ,1,1600,2936,19,6,B M Cole,A J Prendergast M S Prendergast,HONGRE
6,STEEL SEDAKA,4,580 ,0,1600,1078,5.9,9,J P Salanitri,F Salanitri Archer A Puyat Mr,HONGRE
7,FINTONA QUEEN,4,560 ,0,1600,1157,19,7,K M Keys,Mrs L A Keys K M Keys R W Tayl,FEMELLE
8,ISOLA COMACINA,4,560 ,3,1600,8041,2.2,4,Andrew Noblet,R L Harding Mrs J E Harding,FEMELLE
9,KANSINO,4,560 ,1,1600,5819,4.3,2,C Maher D Eustace,Wylie Dalziel Roy Higgins Racing,FEMELLE
