number,name_horse,horse_age,weight,race_place,distance,prize,win_odd,draw,entraineur,proprietaire,sex
2,CATMOSPHERE,6,600 ,5,1200,76305,25,9,D J Hansen,Flying Start mgrc R Bennettr,HONGRE
3,ENTERPRISE MOSS,6,600 ,7,1200,58327,8.6,5,M J Lakey,Dr B F Purtle,HONGRE
4,GEE TEE TEE,5,600 ,2,1200,12267,3.5,10,Steven ODea,A Falcone S Saric T A Mobbs,HONGRE
5,PENASQUITO,5,600 ,5,1200,37727,11,1,Chris Anderson,J T D Barlow C A Cid A G Cid,HONGRE
8,YU LONG SHENG HUI,7,595 ,4,1200,63082,39,3,Jon Walk,J R Walk M D Walk,HONGRE
9,THE BLACK TIDE,5,590 ,3,1200,28667,11,23,Steven ODea,T Hughes A Halloran H Goddard,FEMELLE
11,VILLENEUVE LADY,5,585 ,3,1200,35247,18,12,S A Mackinnon,I R Mccauley Mrs D E Mccauley,FEMELLE
